ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-19,354000,매수,58.4,20.0,21.5,58.4,62.5,81%,371809.15962092223,277090.84037907777,21869.477901943603
000660,SK하이닉스,2026-06-19,2764000,매수,57.1,25.9,17.0,57.1,73.5,107%,2702362.9960751147,1793037.0039248853,168181.20389768732
005380,현대차,2026-06-19,613000,매수,41.5,40.4,18.1,41.5,46.5,25%,748841.5184482443,568458.4815517557,45863.88029497909
035420,NAVER,2026-06-19,229500,매수,39.7,22.2,38.1,39.7,48.7,42%,289436.7303342226,185293.2696657774,21683.356753789023
051910,LG화학,2026-06-19,338000,매수,53.6,27.3,19.1,53.6,45.1,37%,375605.0331320064,315994.9668679936,22634.583254065605
006400,삼성SDI,2026-06-19,555000,매도,35.9,35.9,30.8,33.3,47.2,39%,700094.8494503652,460805.1505496348,42505.30924254049
035720,카카오,2026-06-19,37750,관망,47.5,17.4,47.5,35.0,36.2,0%,43365.13765205183,37734.86234794817,2144.5138750573137
000270,기아,2026-06-19,154900,관망,39.4,29.0,39.4,31.6,44.1,6%,174225.62921607407,153564.37078392593,9046.00111407435
105560,KB금융,2026-06-19,158300,매수,37.1,33.4,29.5,37.1,49.5,49%,172131.84834195764,145038.15165804236,8964.375902559648
055550,신한지주,2026-06-19,100900,매수,43.1,24.4,32.5,43.1,52.5,62%,107480.65359842373,90229.34640157627,5310.36387972797
012330,현대모비스,2026-06-19,612000,매도,47.8,47.8,18.5,33.7,50.0,30%,781170.8212612148,538129.1787387852,60118.57550557245
028260,삼성물산,2026-06-19,491500,매수,43.9,35.1,21.0,43.9,60.4,77%,527589.7418051948,369860.2581948053,44138.12979438948
066570,LG전자,2026-06-19,211500,관망,46.3,10.2,46.3,43.5,45.5,26%,362422.2863096066,158827.71369039337,31380.01188769151
003550,LG,2026-06-19,108900,매수,39.0,24.1,36.9,39.0,46.5,29%,149853.05702126457,91786.94297873545,11208.15839876353
017670,SK텔레콤,2026-06-19,94900,매수,53.4,21.0,25.6,53.4,42.8,16%,116985.34272210744,90724.65727789256,7290.328152767064
030200,KT,2026-06-19,53300,관망,58.2,12.7,58.2,29.0,42.2,31%,57990.57064423647,51199.42935576353,2263.1343343184017
096770,SK이노베이션,2026-06-19,102400,매수,55.9,13.4,30.7,55.9,35.0,13%,125454.29147527248,98885.70852472752,6414.441332153809
011200,HMM,2026-06-19,20150,관망,39.1,29.9,39.1,31.0,49.8,55%,21922.674730250288,18009.325269749712,999.8278214804548
010950,S-Oil,2026-06-19,105300,관망,46.8,15.9,46.8,37.3,41.0,14%,115517.32217968591,103672.67782031409,5756.987417899365
086790,하나금융지주,2026-06-19,123500,관망,49.0,22.0,49.0,28.9,52.3,65%,130676.4307332198,110143.5692667802,6393.78642758576
069500,KODEX 200,2026-06-19,146910,매수,50.9,22.6,26.5,50.9,67.6,93%,149259.50412205755,116705.99587794246,7053.7524516887415
229200,KODEX 코스닥150,2026-06-19,16965,매수,41.5,24.2,34.3,41.5,41.8,23%,20187.508049114163,15994.491950885837,969.3017560389208
305720,KODEX 2차전지산업,2026-06-19,16935,관망,35.5,29.5,35.5,35.0,40.7,25%,20798.189954424128,15617.81004557587,1014.0643357104744
091160,KODEX 반도체,2026-06-19,181015,매수,42.3,22.9,34.8,42.3,65.8,94%,183271.16890742545,144345.83109257455,9808.084997332902
139220,KODEX IT,2026-06-19,8780,매수,34.9,33.1,32.1,34.9,47.3,43%,10001.060222396518,7858.939777603481,652.9276737814167
114800,KODEX 인버스,2026-06-19,859,매도,46.6,46.6,12.3,41.1,31.0,6%,1106.8887580378678,842.7112419621322,58.456562962103874
252670,KODEX 200선물인버스2X,2026-06-19,63,매수,62.9,26.1,11.0,62.9,29.5,7%,108.63440197784888,59.76559802215114,11.703303703980684
148020,KODEX 헬스케어,2026-06-19,147745,매수,41.9,35.3,22.8,41.9,67.3,92%,150318.14615977329,117579.85384022671,7163.127044290811
364980,KODEX 수소경제,2026-06-19,11255,매도,37.7,37.7,36.9,25.4,42.4,29%,13657.699806775436,10280.800193224564,677.9591708119984
379800,KODEX 미국S&P500,2026-06-19,25820,관망,84.8,9.8,84.8,5.4,62.2,63%,26205.403651942597,25167.596348057406,262.22753378304986
AAPL,애플,2026-06-18,298,관망,56.4,21.0,56.4,22.5,51.0,33%,318.9609290024258,287.8340752700351,7.088062087434316
MSFT,MS,2026-06-18,379,관망,41.3,29.8,41.3,28.9,35.0,11%,456.3821296732988,369.9148643452559,11.908554961432488
NVDA,엔비디아,2026-06-18,210,관망,45.4,30.0,45.4,24.5,50.5,46%,224.02997105420303,199.33206813036728,7.602915142678752
GOOGL,알파벳,2026-06-18,368,관망,54.9,20.1,54.9,25.0,49.2,42%,393.5304395032392,349.4774248766436,10.754579459358846
AMZN,아마존,2026-06-18,244,관망,54.6,22.8,54.6,22.6,44.0,32%,277.47799472634244,229.07800808127476,7.68055840239043
